# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
49500 12.0062 -9.85978
49600 10.1885 -11.6971
49700 12.5806 -7.49454
49800 8.41005 -13.5654
49900 13.466 -11.9415
50000 9.01933 -10.6824
50100 11.3975 -7.02963
50200 11.0832 -13.7703
50300 11.716 -10.2444
50400 9.22897 -12.4587
50500 12.3546 -9.8961
50600 9.40238 -10.8893
50700 11.7184 -10.0375
50800 11.9202 -13.6868
50900 10.8258 -8.85245
51000 8.96408 -10.7699
51100 12.6709 -11.7989
51200 10.2864 -10.4402
51300 10.1683 -9.52158
51400 11.6542 -12.6967
51500 10.3164 -10.049
51600 10.1387 -9.06915
51700 11.8018 -13.0481
51800 10.0922 -9.86359
51900 10.4606 -11.4593
52000 13.2212 -11.2225
52100 8.75758 -9.45752
52200 11.182 -10.8485
52300 11.8696 -13.6005
52400 11.04 -8.85244
52500 10.5495 -11.7393
52600 12.3783 -10.599
52700 8.37018 -10.104
52800 12.8167 -11.4888
52900 10.6937 -12.527
53000 8.80411 -8.89712
53100 12.0219 -11.0809
53200 12.2307 -11.5571
53300 8.09136 -10.45
53400 12.5416 -11.3479
53500 11.63 -10.851
53600 9.60647 -7.63278
53700 11.1634 -13.9287
53800 11.4826 -12.0915
53900 8.98459 -8.88234
54000 12.9127 -10.1029
54100 11.8244 -13.3624
54200 8.34403 -10.1696
54300 11.455 -11.2224
54400 12.9285 -11.8126
54500 9.40017 -9.80602
54600 11.376 -11.2641
54700 11.7564 -10.6514
54800 9.89375 -9.46229
54900 11.4581 -12.182
55000 11.029 -11.4256
55100 8.58252 -9.12298
55200 11.8917 -11.0807
55300 12.2474 -12.9833
55400 9.43266 -9.50875
55500 11.511 -11.1654
55600 12.4391 -10.7566
55700 7.9664 -11.4567
55800 12.5089 -12.6393
55900 11.9175 -10.6654
56000 11.1249 -7.58251
56100 10.4016 -13.5155
56200 12.05 -10.9322
56300 9.2423 -9.39056
56400 12.8542 -11.2711
56500 9.30801 -12.8909
56600 9.9031 -8.90383
56700 11.7594 -11.9546
56800 12.1974 -9.69359
56900 7.86969 -11.6659
57000 12.6499 -12.231
57100 10.6622 -10.9228
57200 10.7774 -7.63855
