# Time-averaged data for fix at1
# TimeStep v_pos
64200 30.349
64300 30.349
64400 30.349
64500 30.349
64600 30.349
64700 30.349
64800 30.349
64900 30.349
65000 30.349
65100 30.349
65200 30.349
65300 30.349
65400 30.349
65500 30.349
65600 30.349
65700 30.349
65800 30.349
65900 30.349
66000 30.349
66100 30.349
66200 30.349
66300 30.349
66400 30.349
66500 30.349
66600 30.349
66700 30.349
66800 30.349
66900 30.349
67000 30.349
67100 30.349
67200 30.349
67300 30.349
67400 30.349
67500 30.349
67600 30.349
67700 30.349
67800 30.349
67900 30.349
68000 30.349
68100 30.349
68200 30.349
68300 30.349
68400 30.349
68500 30.349
68600 30.349
68700 30.349
68800 30.349
68900 30.349
69000 30.349
69100 30.349
69200 30.349
69300 30.349
69400 30.349
69500 30.349
69600 30.349
69700 30.349
69800 30.349
69900 30.349
70000 30.349
70100 30.349
70200 30.349
70300 30.349
70400 30.349
70500 30.349
70600 30.349
70700 30.349
70800 30.349
70900 30.349
71000 30.349
71100 30.349
71200 30.349
71300 30.349
71400 30.349
71500 30.349
71600 30.349
71700 30.349
71800 30.349
71900 30.349
72000 30.349
72100 30.349
72200 30.349
72300 30.349
72400 30.349
72500 30.349
72600 30.349
72700 30.349
72800 30.349
72900 30.349
73000 30.349
73100 30.349
73200 30.349
73300 30.349
73400 30.349
73500 30.349
73600 30.349
73700 30.349
73800 30.349
73900 30.349
74000 30.349
74100 30.349
74200 30.349
74300 30.349
74400 30.349
74500 30.349
74600 30.349
74700 30.349
74800 30.349
74900 30.349
75000 30.349
75100 30.349
75200 30.349
75300 30.349
75400 30.349
75500 30.349
75600 30.349
75700 30.349
75800 30.349
75900 30.349
76000 30.349
76100 30.349
76200 30.349
76300 30.349
76400 30.349
76500 30.349
76600 30.349
76700 30.349
76800 30.349
76900 30.349
77000 30.349
77100 30.349
77200 30.349
77300 30.349
77400 30.349
77500 30.349
77600 30.349
77700 30.349
77800 30.349
77900 30.349
78000 30.349
78100 30.349
78200 30.349
78300 30.349
78400 30.349
78500 30.349
78600 30.349
78700 30.349
78800 30.349
78900 30.349
79000 30.349
79100 30.349
79200 30.349
79300 30.349
79400 30.349
79500 30.349
79600 30.349
79700 30.349
79800 30.349
79900 30.349
80000 30.349
80100 30.349
80200 30.349
80300 30.349
80400 30.349
80500 30.349
80600 30.349
80700 30.349
80800 30.349
80900 30.349
81000 30.349
81100 30.349
81200 30.349
81300 30.349
81400 30.349
81500 30.349
81600 30.349
81700 30.349
81800 30.349
81900 30.349
82000 30.349
82100 30.349
82200 30.349
82300 30.349
82400 30.349
82500 30.349
82600 30.349
82700 30.349
82800 30.349
82900 30.349
83000 30.349
83100 30.349
83200 30.349
83300 30.349
83400 30.349
83500 30.349
83600 30.349
83700 30.349
83800 30.349
83900 30.349
84000 30.349
84100 30.349
84200 30.349
84300 30.349
84400 30.349
84500 30.349
84600 30.349
84700 30.349
84800 30.349
84900 30.349
85000 30.349
85100 30.349
85200 30.349
85300 30.349
85400 30.349
85500 30.349
85600 30.349
85700 30.349
85800 30.349
85900 30.349
86000 30.349
86100 30.349
86200 30.349
86300 30.349
86400 30.349
86500 30.349
86600 30.349
86700 30.349
86800 30.349
86900 30.349
87000 30.349
87100 30.349
87200 30.349
87300 30.349
87400 30.349
87500 30.349
87600 30.349
87700 30.349
87800 30.349
87900 30.349
88000 30.349
88100 30.349
88200 30.349
88300 30.349
88400 30.349
88500 30.349
88600 30.349
88700 30.349
88800 30.349
88900 30.349
89000 30.349
89100 30.349
89200 30.349
89300 30.349
89400 30.349
89500 30.349
89600 30.349
89700 30.349
89800 30.349
89900 30.349
90000 30.349
90100 30.349
90200 30.349
90300 30.349
90400 30.349
90500 30.349
90600 30.349
90700 30.349
90800 30.349
90900 30.349
91000 30.349
91100 30.349
91200 30.349
91300 30.349
91400 30.349
91500 30.349
91600 30.349
91700 30.349
91800 30.349
91900 30.349
92000 30.349
92100 30.349
92200 30.349
92300 30.349
92400 30.349
92500 30.349
92600 30.349
92700 30.349
92800 30.349
92900 30.349
93000 30.349
93100 30.349
93200 30.349
93300 30.349
93400 30.349
93500 30.349
93600 30.349
93700 30.349
93800 30.349
93900 30.349
94000 30.349
94100 30.349
94200 30.349
94300 30.349
94400 30.349
94500 30.349
94600 30.349
94700 30.349
94800 30.349
94900 30.349
95000 30.349
95100 30.349
95200 30.349
95300 30.349
95400 30.349
95500 30.349
95600 30.349
95700 30.349
95800 30.349
95900 30.349
96000 30.349
96100 30.349
96200 30.349
96300 30.349
96400 30.349
96500 30.349
96600 30.349
96700 30.349
96800 30.349
96900 30.349
97000 30.349
97100 30.349
97200 30.349
97300 30.349
97400 30.349
97500 30.349
97600 30.349
97700 30.349
97800 30.349
97900 30.349
98000 30.349
98100 30.349
98200 30.349
98300 30.349
98400 30.349
98500 30.349
98600 30.349
98700 30.349
98800 30.349
98900 30.349
99000 30.349
99100 30.349
99200 30.349
99300 30.349
99400 30.349
99500 30.349
99600 30.349
99700 30.349
99800 30.349
99900 30.349
100000 30.349
100100 30.3493
100200 30.3498
100300 30.3503
100400 30.3508
100500 30.3513
100600 30.3518
100700 30.3523
100800 30.3528
100900 30.3533
101000 30.3538
101100 30.3543
101200 30.3548
101300 30.3553
101400 30.3558
101500 30.3563
101600 30.3568
101700 30.3573
101800 30.3578
101900 30.3583
102000 30.3588
102100 30.3593
102200 30.3598
102300 30.3603
102400 30.3608
102500 30.3613
102600 30.3618
102700 30.3623
102800 30.3628
102900 30.3633
103000 30.3638
103100 30.3643
103200 30.3648
103300 30.3653
103400 30.3658
103500 30.3663
103600 30.3668
103700 30.3673
103800 30.3678
103900 30.3683
104000 30.3688
104100 30.3693
104200 30.3698
104300 30.3703
104400 30.3708
104500 30.3713
104600 30.3718
104700 30.3723
104800 30.3728
104900 30.3733
105000 30.3738
105100 30.3743
105200 30.3748
105300 30.3753
105400 30.3758
105500 30.3763
105600 30.3768
105700 30.3773
105800 30.3778
105900 30.3783
106000 30.3788
106100 30.3793
106200 30.3798
106300 30.3803
106400 30.3808
106500 30.3813
106600 30.3818
106700 30.3823
106800 30.3828
106900 30.3833
107000 30.3838
107100 30.3843
107200 30.3848
107300 30.3853
107400 30.3858
107500 30.3863
107600 30.3868
107700 30.3873
107800 30.3878
107900 30.3883
108000 30.3888
108100 30.3893
108200 30.3898
108300 30.3903
108400 30.3908
108500 30.3913
108600 30.3918
108700 30.3923
108800 30.3928
108900 30.3933
109000 30.3938
109100 30.3943
109200 30.3948
109300 30.3953
109400 30.3958
109500 30.3963
109600 30.3968
109700 30.3973
109800 30.3978
109900 30.3983
110000 30.3988
110100 30.3993
110200 30.3998
110300 30.4003
110400 30.4008
110500 30.4013
110600 30.4018
110700 30.4023
110800 30.4028
110900 30.4033
111000 30.4038
111100 30.4043
111200 30.4048
111300 30.4053
111400 30.4058
111500 30.4063
111600 30.4068
111700 30.4073
111800 30.4078
111900 30.4083
112000 30.4088
112100 30.4093
112200 30.4098
112300 30.4103
112400 30.4108
112500 30.4113
112600 30.4118
112700 30.4123
112800 30.4128
112900 30.4133
113000 30.4138
113100 30.4143
113200 30.4148
113300 30.4153
113400 30.4158
113500 30.4163
113600 30.4168
113700 30.4173
113800 30.4178
113900 30.4183
114000 30.4188
114100 30.4193
114200 30.4198
114300 30.4203
114400 30.4208
114500 30.4213
114600 30.4218
